min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
-20,20,-20,20,,,,,,,,,
[run number],1,1,1,1,2,2,2,2,3,3,3,3
initial-outbreak-size,3,,,,3,,,,3,,,
number-of-nodes,150,,,,150,,,,150,,,
average-node-degree,6,,,,6,,,,6,,,
virus-spread-chance,2.5,,,,2.5,,,,2.5,,,
virus-check-frequency,1,,,,1,,,,1,,,
recovery-chance,2.5,,,,5,,,,7.5,,,
gain-resistance-chance,5,,,,5,,,,5,,,
[reporter],[step],count turtles with [infected?],count turtles with [resistant?],ticks,[step],count turtles with [infected?],count turtles with [resistant?],ticks,[step],count turtles with [infected?],count turtles with [resistant?],ticks
[final],2103,0,84,2103,1071,0,55,1071,43,0,3,43
[min],0,0,0,0,0,0,0,0,0,0,0,0
[max],2103,110,84,2103,1071,64,55,1071,43,10,3,43
[mean],1051.5,28.12262357,65.96815589,1051.5,535.5,22.17070896,30.2891791,535.5,21.5,4.772727273,0.568181818,21.5
[total steps],2103,2103,2103,2103,1071,1071,1071,1071,43,43,43,43
,,,,,,,,,,,,
BehaviorSpace results (NetLogo 7.0.2),Spreadsheet version 2.0,,,,,,,,,,,
Virus on a Network.nlogox,,,,,,,,,,,,
recovery-chance (copy),,,,,,,,,,,,
12/03/2025 14:27:50:490 +0800,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
-20,20,-20,20,,,,,,,,,
[run number],1,1,1,1,2,2,2,2,3,3,3,3
initial-outbreak-size,3,,,,3,,,,3,,,
number-of-nodes,150,,,,150,,,,150,,,
average-node-degree,6,,,,6,,,,6,,,
virus-spread-chance,2.5,,,,2.5,,,,2.5,,,
virus-check-frequency,1,,,,1,,,,1,,,
recovery-chance,5,,,,5,,,,5,,,
gain-resistance-chance,5,,,,10,,,,15,,,
[reporter],[step],count turtles with [infected?],count turtles with [resistant?],ticks,[step],count turtles with [infected?],count turtles with [resistant?],ticks,[step],count turtles with [infected?],count turtles with [resistant?],ticks
[final],973,0,69,973,944,0,58,944,606,0,81,606
[min],0,0,0,0,0,0,0,0,0,0,0,0
[max],973,60,69,973,944,61,58,944,606,51,81,606
[mean],486.5,25.23613963,38.71766,486.5,472,15.58835979,36.36402116,472,303,16.44975,52.89785832,303
[total steps],973,973,973,973,944,944,944,944,606,606,606,606
